Material,SiO2,TiO2,Al2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O3,V2O5,ZnO,Fe,Ni,Co,S
GL,48.69,1.52,17.11,,,,9.16,,0.16,8.24,11.21,,3.09,0.12,0.17,,,,,,,,,,,,,,0.11
WR,47.03,1.67,17.93,,10.55,,,,0.16,5.74,11.44,,2.5,0.11,0.22,,,,,,,,,,,,,,
GL,48.3,1.42,17.69,,,,9.21,,0.15,8.04,11.07,,3.21,0.11,0.15,,,,,,,,,,,,,,0.11
GL,48.82,1.76,16.73,,,,8.89,,0.15,7.99,11.17,,3.22,0.14,0.21,,,,,,,,,,,,,,0.11
GL,49.73,1.26,16.08,,,,9.05,,0.16,8.09,12.09,,2.78,0.05,0.1,,,,,,,,,,,,,,0.12
GL,48.7,1.09,16.26,,,,8.96,,0.17,8.64,12.35,,2.47,0.06,0.09,,,,,,,,,,,,,,0.12
GL,49.25,0.94,16.94,,,,8.68,,0.16,9.03,12.86,,2.14,0.04,0.07,,,,,,,,,,,,,,0.11
WR,48.3,0.91,16.97,,9.71,,,,0.15,9.4,12.61,,1.65,0.05,0.02,,,,,,,,,,,,,,
GL,48.88,1.14,17.96,,,,8.2,,0.14,8.83,11.95,,2.86,0.04,0.09,,,,,,,,,,,,,,0.11
WR,47.4,0.91,22,,7.86,,,,0.13,5.13,12.6,,2.33,0.05,0.07,,,,,,,,,,,,,,
GL,49.7,1.27,15.69,,,,9.95,,0.18,8.24,12.35,,2.52,0.05,0.09,,,,,,,,,,,,,,0.13
WR,48.52,1.28,16.11,,11.48,,,,0.18,5.7,12.72,,2.22,0.2,0.07,,,,,,,,,,,,,,
GL,50.19,1.52,14.46,,,,10.94,,0.2,7.31,12.2,,2.71,0.05,0.11,,,,,,,,,,,,,,0.15
WR,49.96,1.46,14.83,,12.24,,,,0.2,7.37,12.04,,2.28,0.07,0.08,,,,,,,,,,,,,,
GL,49.18,1.43,17.59,,,,8.62,,0.16,8.07,11.35,,3.56,0.06,0.18,,,,,,,,,,,,,,0.12
WR,48.86,1.36,17.76,,9.55,,,,0.16,7.86,11.2,,3.11,0.1,0.12,,,,,,,,,,,,,,
GL,49.14,1.42,17.69,,,,8.64,,0.14,8.16,11.31,,3.55,0.05,0.17,,,,,,,,,,,,,,0.11
GL,48.9,1.98,17.65,,,,8.67,,0.17,7.98,11.43,,3.22,0.07,0.14,,,,,,,,,,,,,,0.11
WR,47.8,1.26,19.83,,10.33,,,,0.14,3.49,12.08,,3.1,0.11,0.14,,,,,,,,,,,,,,
WR,48.14,1.9,17.37,,9.83,,,,0.16,8.65,9.81,,3.6,0.53,0.32,,,,,,,,,,,,,,
WR,48.98,2.42,16.92,,10.36,,9.38,,0.18,6.38,9.8,,3.27,0.53,0.35,,,,,,,,,,,,,,0.13
GL,48.75,1.37,17.1,,,,9.03,,0.18,8.4,12.16,,2.94,0.05,0.1,,,,,,,,,,,,,,0.12
WR,47.85,1.23,18.24,,9.59,,,,0.16,7.79,11.55,,2.98,0.08,0.12,,,,,,,,,,,,,,
GL,49.81,1.4,15.1,,,,10.19,,0.18,7.5,12.36,,2.9,0.07,0.11,,,,,,,,,,,,,,0.13
GL,47.15,0.92,18.08,,,,10.91,,0.2,8.7,11.62,,2.4,0.03,0.06,,,,,,,,,,,,,,0.1
WR,46.57,0.87,17.17,,12.35,,,,0.2,11,10.87,,2.25,0.04,0.05,,,,,,,,,,,,,,
GL,47.14,0.93,17.86,,,,10.92,,0.19,9.08,11.47,,2.4,0.02,0.08,,,,,,,,,,,,,,0.09
WR,48.78,1.09,17.12,,9.9,,,,0.18,9.08,12.17,,2.5,0.06,0.07,,,,,,,,,,,,,,
GL,49.44,1.19,16.23,,,,9.11,,0.17,8.49,12.7,,2.52,0.04,0.09,,,,,,,,,,,,,,0.13
WR,48.71,0.96,19.11,,8.56,,,,0.14,7.84,13.23,,2.19,0.03,0.05,,,,,,,,,,,,,,
GL,48.4,1.23,16.92,,,,10.31,,0.18,9.07,11.43,,2.69,0.08,0.08,,,,,,,,,,,,,,0.11
WR,47.15,1.12,15.73,,11.62,,,,0.18,11.9,10.49,,2.41,0.06,0.07,,,,,,,,,,,,,,
GL,48.09,1.06,18.16,,,,8.37,,0.13,9.54,12.06,,2.71,0.02,0.06,,,,,,,,,,,,,,0.1
WR,47.31,1.05,17.65,,9.33,,,,0.15,10.75,11.69,,2.55,0.02,0.03,,,,,,,,,,,,,,
GL,49.54,0.87,16.69,,,,8.34,,0.14,9.45,12.86,,2.03,0.02,0.05,,,,,,,,,,,,,,0.11
WR,49.25,0.85,16.9,,9.24,,,,0.15,9.71,12.86,,1.9,0.01,0.04,,,,,,,,,,,,,,
GL,49.99,1.31,15.98,,,,9.65,,0.19,8.13,12.15,,2.78,0.06,0.1,,,,,,,,,,,,,,0.12
WR,49.11,1.27,15.88,,10.43,,,,0.18,8.24,12.2,,2.64,0.12,0.08,,,,,,,,,,,,,,
GL,49.58,0.97,16,,,,9.53,,0.18,8.74,13.02,,2.1,0.02,0.06,,,,,,,,,,,,,,0.12
WR,48.99,0.93,15.9,,10.24,,,,0.17,8.9,12.93,,1.86,0.03,0.03,,,,,,,,,,,,,,
GL,47.75,1.11,18.02,,,,9.26,,0.16,9.49,11.32,,2.86,0.06,0.11,,,,,,,,,,,,,,0.11
WR,47.26,1.08,17.83,,10.01,,,,0.16,10.2,11.19,,2.73,0.05,0.07,,,,,,,,,,,,,,
GL,47.81,1.13,18.19,,,,9.37,,0.16,9.18,11.49,,2.88,0.06,0.1,,,,,,,,,,,,,,0.11
GL,49.67,1.33,15.59,,,,10.14,,0.18,7.84,12.4,,2.76,0.06,0.08,,,,,,,,,,,,,,0.13
WR,49.3,1.19,16.31,,10.71,,,,0.18,8.19,12.2,,1.71,0.03,0.06,,,,,,,,,,,,,,
GL,49.12,0.96,17.3,,,,9.03,,0.15,9.12,12.48,,2.35,0.05,0.07,,,,,,,,,,,,,,0.11
WR,48.07,0.87,17.69,,9.55,,,,0.15,9.55,12.16,,1.31,0.03,0.04,,,,,,,,,,,,,,
GL,50.92,1.28,14.49,,,,10.7,,0.19,7.61,12.66,,2.45,0.05,0.09,,,,,,,,,,,,,,0.15
WR,50.81,1.17,14.63,,11.36,,,,0.19,7.95,12.6,,1.5,0.03,0.07,,,,,,,,,,,,,,
GL,48.72,0.95,17.44,,,,8.81,,0.16,9.41,12.49,,2.24,0.04,0.07,,,,,,,,,,,,,,0.11
WR,48.34,0.83,18.62,,9.01,,,,0.15,9.07,12.63,,1.18,0,0.04,,,,,,,,,,,,,,
GL,47.84,1.14,18.26,,,,8.93,,0.16,9.4,11.96,,2.53,0.06,0.07,,,,,,,,,,,,,,0.11
WR,47.39,1.02,18.06,,9.54,,,,0.16,11.03,11.41,,1.44,0.01,0.06,,,,,,,,,,,,,,
GL,48.3,1.28,17.51,,,,8.99,,0.17,9.53,11.63,,2.65,0.09,0.11,,,,,,,,,,,,,,0.11
WR,48.01,1.23,17.39,,9.86,,,,0.16,10.1,11.35,,1.69,0.05,0.09,,,,,,,,,,,,,,
GL,49.87,1.34,16.28,,,,9,,0.16,8.43,12.34,,2.51,0.16,0.13,,,,,,,,,,,,,,0.11
WR,49.56,1.22,16.56,,9.66,,,,0.16,8.99,12.08,,1.51,0.12,0.11,,,,,,,,,,,,,,
GL,50.26,0.97,15.61,,,,9.07,,0.17,8.61,13.09,,2.19,0.02,0.07,,,,,,,,,,,,,,0.12
WR,50.08,0.9,15.77,,9.9,,,,0.17,9.16,12.82,,1.23,0,0.05,,,,,,,,,,,,,,
GL,50.39,1.23,15.79,,,,8.47,,0.15,8.28,12.29,,2.4,0.13,0.13,,,,,,,,,,,,,,0.1
WR,50.5,1.14,15.99,,9.36,,,,0.16,8.79,12.12,,1.46,0.07,0.1,,,,,,,,,,,,,,
GL,50.04,2.18,14.21,,,,12.05,,0.2,7.4,10.62,,2.83,0.13,0.22,,,,,,,,,,,,,,0.15
WR,49.82,2.09,14.1,,13.36,,,,0.21,7.58,10.45,,1.88,0.11,0.2,,,,,,,,,,,,,,
GL,50.08,1.83,15.02,,,,10.81,,0.2,7.79,11.1,,2.68,0.21,0.17,,,,,,,,,,,,,,0.14
WR,49.62,1.76,14.87,,12.01,,,,0.19,8,10.96,,1.78,0.17,0.17,,,,,,,,,,,,,,
GL,49.93,2.02,15.56,,,,10.28,,0.16,7.3,10.97,,2.95,0.3,0.25,,,,,,,,,,,,,,0.13
WR,49.72,1.92,15.31,,11.59,,,,0.19,7.69,10.74,,1.99,0.3,0.25,,,,,,,,,,,,,,
GL,48.7,1,17.77,,,,8.86,,0.17,9.04,11.95,,2.62,0.03,0.06,,,,,,,,,,,,,,0.1
WR,47.83,0.86,16.57,,10.25,,,,0.16,12.1,10.75,,1.47,0,0.04,,,,,,,,,,,,,,
GL,49.87,1.71,16.67,,,,8.91,,0.17,7.69,11.52,,3.18,0.24,0.2,,,,,,,,,,,,,,0.11
WR,49.36,1.5,16.58,,9.72,,,,0.16,8.6,11.24,,2.55,0.32,0.2,,,,,,,,,,,,,,
GL,48.63,0.96,17.36,,,,8.89,,0.18,9.43,12.39,,2.22,0.03,0.05,,,,,,,,,,,,,,0.11
WR,48.33,0.89,17.17,,10.15,,,,0.16,10.1,12.09,,1.62,0.02,0.05,,,,,,,,,,,,,,
GL,50.05,2.33,14.4,,,,11.76,,0.2,6.72,10.44,,3.04,0.28,0.25,,,,,,,,,,,,,,0.16
WR,49.55,2.21,14.16,,13.42,,,,0.21,7.47,10.2,,2.3,0.25,0.24,,,,,,,,,,,,,,
WR,49.08,1.61,16.6,,10.69,,9.41,,0.19,8.04,11.43,,3.1,0.09,0.14,,,,,,,,,,,,,,0.11
GL,49.07,2.08,16,,,,10.02,,0.2,7.09,10.91,,3.44,0.19,0.25,,,,,,,,,,,,,,0.13
GL,50.41,1.73,14.81,,,,10.65,,0.19,7.34,11.74,,2.7,0.1,0.16,,,,,,,,,,,,,,0.14
WR,50.2,1.64,14.73,,11.66,,,,0.19,7.54,11.69,,2.14,0.13,0.14,,,,,,,,,,,,,,
GL,49.34,2.5,14.16,,,,11.99,,0.22,7.44,10.45,,2.92,0.15,0.25,,,,,,,,,,,,,,0.15
WR,49.38,2.4,21.07,,13.65,,,,0.2,7.89,10.42,,2.34,0.17,0.25,,,,,,,,,,,,,,
GL,51.07,1.41,15.03,,,,9.24,,0.17,7.36,12.36,,2.86,0.13,0.12,,,,,,,,,,,,,,0.12
WR,50.85,1.28,15.16,,10.18,,,,0.17,8.06,12.12,,2.28,0.11,0.11,,,,,,,,,,,,,,
GL,48.68,1.85,17.06,,,,8.95,,0.19,7.3,11.05,,3.42,0.31,0.25,,,,,,,,,,,,,,0.11
WR,49.56,1.05,17.07,,9.28,,8.12,,0.14,8.84,12.22,,2.6,0.02,0.07,,,,,,,,,,,,,,0.1
WR,49.25,2.37,15.84,,11.16,,10.09,,0.2,6.85,10.55,,3.25,0.4,0.36,,,,,,,,,,,,,,0.14
WR,50.31,1.98,16.5,,,,9.28,,0.15,6.42,9.54,,3.47,0.94,0.41,,,,,,,,,,,,,,0.11
WR,49.57,1.62,17.18,,9.94,,8.98,,0.15,7,11.76,,2.71,0.25,0.2,,,,,,,,,,,,,,0.11
WR,50.7,1.51,15.22,,,,9.54,,0.17,7.42,12.15,,2.95,0.09,0.13,,,,,,,,,,,,,,0.13
WR,49.93,1.26,17.01,,9.82,,,,0.16,7.34,12.37,,2.3,0.09,0.11,,,,,,,,,,,,,,
WR,50.62,1.47,15.18,,,,9.43,,0.17,7.41,11.99,,2.93,0.08,0.12,,,,,,,,,,,,,,0.12
WR,49.45,1.15,18.33,,9.36,,8.85,,0.15,7.88,12.13,,2.35,0.07,0.1,,,,,,,,,,,,,,0.12
WR,48.61,3.51,15.98,,12.67,,11.22,,0.19,6.17,8.44,,3.4,1.24,0.71,,,,,,,,,,,,,,0.14
WR,48.54,3.46,15.88,,,,11.03,,0.18,5.11,8.57,,3.86,1.18,0.72,,,,,,,,,,,,,,0.13
GL,50.34,1.62,14.69,,,,10.35,,0.2,7.57,11.77,,2.66,0.16,0.14,,,,,,,,,,,,,,0.13
GL,50.38,1.57,14.74,,,,10.17,,0.18,7.73,11.78,,2.67,0.16,0.16,,,,,,,,,,,,,,0.13
GL,50.61,2.19,14.25,,,,12.75,,0.23,5.28,10.46,,3.18,0.4,0.21,,,,,,,,,,,,,,
GL,50.35,2.2,14.23,,,,12.42,,0.25,5.38,10.4,,3.28,0.4,0.19,,,,,,,,,,,,,,
GL,50.43,2.18,14.29,,,,12.49,,0.23,5.4,10.36,,3.25,0.42,0.18,,,,,,,,,,,,,,
GL,51.02,2.24,14.51,,,,12.65,,0.24,5.46,10.46,,2.96,0.42,0.2,,,,,,,,,,,,,,
GL,51.02,2.21,14.43,,,,12.94,,0.24,5.48,10.52,,3.11,0.43,0.19,,,,,,,,,,,,,,
GL,50.52,2.24,14.29,,,,12.68,,0.24,5.35,10.25,,3.16,0.41,0.2,,,,,,,,,,,,,,
GL,51.05,2.21,14.47,,,,12.99,,0.25,5.43,10.56,,2.98,0.43,0.19,,,,,,,,,,,,,,
GL,50.54,2.2,14.24,,,,12.36,,0.23,5.6,10.44,,3.2,0.4,0.2,,,,,,,,,,,,,,
GL,50.5,2.2,14.11,,,,12.58,,0.22,5.52,10.42,,3.21,0.41,0.19,,,,,,,,,,,,,,
GL,50.47,2.18,14.1,,,,12.53,,0.25,5.53,10.41,,3.21,0.41,0.2,,,0.688,,,,,,,,,51,,1424
GL,50.48,2.2,14.15,,,,12.7,,0.23,5.45,10.41,,3.22,0.41,0.19,,,,,,,,,,,,,,
GL,50.8,1.55,14.91,,,,10.73,,0.21,6.78,11.18,,2.92,0.21,0.13,,,,,,,,,,,,,,
GL,49.85,2.02,14.82,,,,11.27,,0.22,5.99,11.17,,2.98,0.36,0.19,,,,,,,,,,,,,,
GL,50.35,2.07,13.99,,,,12.68,,0.24,5.65,10.67,,3.1,0.31,0.17,,,,,,,,,,,,,,
GL,49.93,2.01,14.76,,,,11.45,,0.24,6.11,11.14,,3.02,0.37,0.19,,,0.762,,,,,,,,,52,,1337
GL,49.93,2.01,14.76,,,,11.36,,0.21,6.1,11.18,,3.03,0.37,0.21,,,,,,,,,,,,,,
GL,50.41,2.03,14.15,,,,12.56,,0.24,5.85,10.8,,3.13,0.3,0.18,,,,,,,,,,,,,,
GL,50.36,2.04,14.01,,,,12.44,,0.24,5.8,10.81,,3.14,0.3,0.17,,,,,,,,,,,,,,
GL,49.93,2.01,14.79,,,,11.42,,0.23,6,11.23,,3.02,0.36,0.18,,,,,,,,,,,,,,
GL,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,
GL,48.8,1.54,16.32,,,,9.74,,0.19,7.87,12.09,,2.76,0.09,0.12,,,,,,,,,,,,,,
GL,48.71,1.53,16.17,,,,9.64,,0.17,7.85,12.12,,2.76,0.09,0.13,,,,,,,,,,,,,,
GL,48.84,1.54,16.25,,,,9.73,,0.2,7.97,11.97,,2.77,0.09,0.12,,,,,,,,,,,,,,
GL,48.68,1.53,16.14,,,,9.74,,0.2,7.87,12.04,,2.77,0.09,0.12,,,,,,,,,,,,,,
GL,48.72,1.52,16.22,,,,9.73,,0.2,7.8,12.04,,2.78,0.09,0.12,,,,,,,,,,,,,,
GL,48.89,1.19,16.6,,,,9.2,,0.2,8.4,12.34,,2.44,0.12,0.1,,,,,,,,,,,,,,
GL,48.63,1.52,16.2,,,,9.64,,0.19,7.82,12,,2.76,0.09,0.12,,,,,,,,,,,,,,
GL,48.67,1.53,16.22,,,,9.81,,0.18,7.81,12.02,,2.77,0.09,0.13,,,,,,,,,,,,,,
GL,48.95,1.19,16.47,,,,9.4,,0.18,8.7,12.26,,2.48,0.12,0.1,,,0.477,,,,,,,,,459,,925
GL,47.94,1.45,15.83,,,,10.38,,0.21,7.92,12.92,,2.33,0.12,0.1,,,,,,,,,,,,,,
GL,47.97,1.43,15.96,,,,10.37,,0.22,8.04,12.9,,2.35,0.11,0.11,,,0.576,,,,,,,,,110,,1249
GL,48.02,1.48,15.92,,,,10.32,,0.18,7.99,12.93,,2.35,0.12,0.1,,,,,,,,,,,,,,
GL,48.03,1.43,15.95,,,,10.54,,0.18,8.2,12.86,,2.33,0.11,0.12,,,,,,,,,,,,,,
GL,48.09,1.45,15.78,,,,10.25,,0.2,7.87,12.92,,2.37,0.12,0.12,,,,,,,,,,,,,,
GL,47.85,1.41,15.86,,,,10.57,,0.18,8.03,12.96,,2.34,0.12,0.12,,,,,,,,,,,,,,
GL,47.98,1.45,15.93,,,,10.15,,0.22,8.02,12.95,,2.35,0.12,0.1,,,,,,,,,,,,,,
GL,48.25,1.3,16.55,,,,10.06,,0.2,7.79,12.5,,2.42,0.34,0.11,,,,,,,,,,,,,,
GL,48.36,1.3,16.54,,,,10.11,,0.18,7.79,12.58,,2.46,0.34,0.11,,,,,,,,,,,,,,
GL,48.27,1.31,16.62,,,,10.16,,0.19,7.91,12.44,,2.42,0.34,0.11,,,,,,,,,,,,,,
GL,48.17,1.31,16.36,,,,10.12,,0.19,7.83,12.55,,2.43,0.34,0.12,,,,,,,,,,,,,,
GL,48.16,1.29,16.56,,,,10.23,,0.18,7.83,12.51,,2.45,0.34,0.1,,,,,,,,,,,,,,
GL,48.2,1.3,16.5,,,,10.15,,0.19,7.8,12.52,,2.41,0.34,0.11,,,,,,,,,,,,,,
GL,48.43,2.3,15.35,,,,11.2,,0.19,5.62,11.36,,3.07,1.04,0.24,,,,,,,,,,,,,,
GL,48.57,2.31,15.33,,,,11.34,,0.18,5.68,11.34,,3.1,1.04,0.23,,,0.814,,,,,,,,,,,1045
GL,48.19,1.13,16.57,,,,8.78,,0.17,7.48,13.7,,2.11,0.6,0.16,,,1.006,,,,,,,,,113,,609
GL,48.16,1.14,16.47,,,,8.9,,0.18,7.44,13.69,,2.12,0.61,0.16,,,,,,,,,,,,,,
GL,47.94,1.14,16.38,,,,8.81,,0.18,7.31,13.74,,2.1,0.61,0.16,,,,,,,,,,,,,,
GL,48.16,1.09,16.68,,,,8.74,,0.18,7.61,13.69,,2.11,0.59,0.13,,,,,,,,,,,,,,
GL,,1.15,14.89,,,,9.79,,0.17,13.78,9.85,,,0.17,,,,0.445,,,,,,,,,372,,976
GL,49.15,2.97,14.09,,,11.75,,,0.04,6.85,11.37,,2.82,0.45,0.37,,,,,,,,,,,,,,0.11
WR,48.22,2.19,15.76,,,9.44,,,0.16,9.24,12,,2.37,0.39,0.23,,,,,,,,,,,,176,68,
GL,49.49,3,13.93,,,11.86,,,0.05,6.62,11.2,,2.79,0.45,0.36,,,,,,,,,,,,,,0.12
WR,47.92,1.83,13.43,,,9.67,,,0.16,13.98,10.24,,2.24,0.34,0.19,,,,,,,,,,,,419,80,
GL,49.3,3.33,13.97,,,11.99,,,0.21,6.34,11.08,,3.09,0.53,0.47,,,,,,,,,,,,,,0.04
WR,48.62,2.76,16.53,,,9.87,,,0.16,6.68,11.85,,2.76,0.47,0.3,,,,,,,,,,,,95,70,
GL,49.13,3.48,13.85,,,11.69,,,0.07,6.47,11.14,,2.95,0.52,0.46,,,,,,,,,,,,,,0.04
WR,48.79,2.73,16.86,,,9.56,,,0.05,6.49,11.94,,2.78,0.49,0.3,,,,,,,,,,,,88,63,
GL,48.69,3,14.71,,,11.26,,,0.09,7.07,11.44,,2.86,0.45,0.39,,,,,,,,,,,,,,0.02
WR,47.95,2.49,15.38,,,10.23,,,0.07,9.54,11.03,,2.56,0.47,0.27,,,,,,,,,,,,225,71,
GL,49.36,3.18,14.01,,,11.52,,,0.22,6.72,11.45,,2.71,0.42,0.39,,,,,,,,,,,,,,0.02
WR,49.39,2.52,16.06,,,9.63,,,0.16,6.66,12.08,,2.86,0.39,0.25,,,,,,,,,,,,97,69,
GL,49.02,3.37,14.05,,,12.03,,,0.12,6.44,11.23,,2.93,0.49,0.37,,,,,,,,,,,,,,0.1
WR,47.64,1.9,16.06,,,8.95,,,0.15,11.09,11.57,,2.13,0.33,0.19,,,,,,,,,,,,316,77,
GL,48.82,3.21,14.12,,,11.73,,,0.16,6.78,11.49,,2.75,0.45,0.36,,,,,,,,,,,,,,0.12
WR,48.42,2.49,16.34,,,9.62,,,0.15,7.53,12.28,,2.51,0.41,0.26,,,,,,,,,,,,138,66,
GL,49.25,3.66,13.65,,,12.45,,,0.12,6.07,10.67,,2.83,0.52,0.4,,,,,,,,,,,,,,0.07
WR,49.37,3.25,14.81,,,11.19,,,0.15,6.07,11.29,,3.01,0.5,0.34,,,,,,,,,,,,60,80,
GL,50.3,3.19,15.97,,,11.22,,,0.12,3.73,6.95,,5.1,2.2,1.06,,,,,,,,,,,,,,0.04
WR,49.62,3.06,16.83,,,11.26,,,0.2,4.19,7.25,,4.81,1.83,0.95,,,,,,,,,,,,3,41,
GL,49.18,3.85,13.67,,,12.62,,,0.2,5.88,10.77,,3.09,0.52,0.42,,,,,,,,,,,,,,0.03
WR,48.66,2.98,15.83,,,10.5,,,0.18,6.78,11.52,,2.77,0.47,0.32,,,,,,,,,,,,84,65,
GL,49.78,2.95,14.1,,,11.16,,,0.15,6.9,11.49,,2.77,0.39,0.32,,,,,,,,,,,,,,0.04
WR,48.39,2.17,15.03,,,9.89,,,0.09,10.09,11.54,,2.18,0.41,0.22,,,,,,,,,,,,242,78,
GL,47.67,4.16,15.53,,,12.89,,,0.25,4.51,8.22,,3.95,1.77,0.86,,,,,,,,,,,,,,0.09
WR,48.17,3.7,16.46,,,11.6,,,0.16,5.37,8.41,,3.97,1.42,0.73,,,,,,,,,,,,29,60,
GL,49.2,3.01,14.71,,,10.88,,,0.17,7.05,11.42,,2.78,0.4,0.33,,,,,,,,,,,,,,0.01
WR,47.79,2.45,14.03,,,10.46,,,0.12,11.5,10.54,,2.39,0.46,0.27,,,,,,,,,,,,304,76,
GL,50.9282,2.0732,14.1164,,,,12.2018,,0.2142,6.6091,10.5392,,3.0624,0.124,0.2193,,,,,,,,,,,,,,
GL,50.7413,2.00015,14.5625,,,,,,,6.6186,10.5537,,3.06398,0.12016,0.22029,,,,,,,,,,,,,,
GL,49.4852,1.4194,16.6735,,,,9.3294,,0.1604,8.0545,11.7854,,2.95,0.107,0.1519,,,,,,,,,,,,,,
GL,51.1641,2.3149,13.4147,,,,13.1864,,0.2455,5.7805,9.6677,,3.1676,0.198,0.2665,,,,,,,,,,,,,,
GL,51.1883,1.8636,14.0827,,,,11.4327,,0.2155,7.0736,10.7786,,2.894,0.1317,0.1811,,,,,,,,,,,,,,
GL,51.2708,1.7322,14.2254,,,,10.8932,,0.1949,7.3208,11.2149,,2.7665,0.1447,0.1743,,,,,,,,,,,,,,
GL,50.2711,1.9675,13.9619,,,,11.5915,,0.2108,6.7994,11.0865,,2.7804,0.2207,0.2103,,,,,,,,,,,,,,
GL,50.8508,2.1997,13.7271,,,,12.4997,,0.2216,6.3861,10.3928,,3.0642,0.2402,0.2383,,,,,,,,,,,,,,
GL,51.4889,1.5517,14.8416,,,,10.0079,,0.1859,7.7966,11.3902,,2.7826,0.219,0.1418,,,,,,,,,,,,,,
GL,50.7682,1.49087,15.3859,,,10.1023,,,,7.47392,11.6673,,2.81902,0.2508,0.18058,,,,,,,,,,,,,,
GL,51.9719,1.3679,16.0174,,,,9.4904,,0.1593,7.9138,10.2477,,2.9496,0.1539,0.1194,,,,,,,,,,,,,,
GL,51.5915,1.31902,16.4627,,,9.46822,,,,7.89185,10.2265,,2.94323,0.14966,0.11972,,,,,,,,,,,,,,
GL,51.3359,2.0514,14.3677,,,,11.4929,,0.2118,6.6771,10.3808,,3.2817,0.429,0.3001,,,,,,,,,,,,,,
GL,50.9204,1.97194,14.7539,,,11.4533,,,,6.65869,10.3469,,3.26954,0.42863,0.29904,,,,,,,,,,,,,,
GL,63.0129,1.272,14.7716,,,,8.1022,,0.1419,1.7521,4.6206,,4.3402,1.8976,0.28,,,,,,,,,,,,,,
GL,51.061,1.86874,14.4352,,,11.8487,,,,6.53823,10.6808,,3.09443,0.31943,0.24955,,,,,,,,,,,,,,
GL,50.895,1.12489,15.5162,,,9.14616,,,,8.36903,12.3742,,2.58045,0.04982,0.09963,,,,,,,,,,,,76.3,42.5,
GL,51.1587,1.8089,14.3197,,,,11.4185,,0.2045,6.8386,10.941,,2.9527,0.2885,0.194,,,,,,,,,,,,,,
GL,52.2663,1.641,14.662,,,,10.6121,,0.1767,7.0908,10.4457,,3.0198,0.2127,0.1567,,,,,,,,,,,,,,
GL,51.2941,1.3704,14.9189,,,,9.5646,,0.1724,7.8341,11.9831,,2.6384,0.1722,0.1415,,,,,,,,,,,,,,
GL,51.314,1.6756,14.1684,,,,11.1218,,0.1975,7.0138,11.3779,,2.7912,0.2014,0.1723,,,,,,,,,,,,,,
GL,51.1404,1.62396,14.62,,,11.1389,,,,7.02194,11.3994,,2.79475,0.20034,0.17029,,,,,,,,,,,,,,
GL,51.1778,1.7196,14.2992,,,,11.0807,,0.1981,7.3491,11.1619,,2.7843,0.1296,0.1694,,,,,,,,,,,,,,
GL,50.3138,1.5941,15.01,,,,10.5406,,0.1856,7.7434,11.6454,,2.6348,0.1025,0.152,,,,,,,,,,,,,,
GL,50.5291,1.7871,14.7307,,,,10.6594,,0.1922,7.1232,11.5413,,2.861,0.1186,0.1713,,,,,,,,,,,,,,
GL,50.1976,1.57045,16.6374,,,8.97604,8.8771,,0.1628,7.5609,11.8063,,2.82018,0.40433,0.20216,,,,,,,,,,,,,,
GL,50.0929,1.5701,15.4489,,,,9.8733,,0.1702,7.6391,11.7859,,2.7466,0.1267,0.1486,,,,,,,,,,,,,,
GL,50.2037,1.7293,14.739,,,,10.7202,,0.1945,7.2056,11.7747,,2.8705,0.1145,0.163,,,,,,,,,,,,,,
GL,53.2945,2.2609,13.3535,,,,13.5009,,0.2283,3.9596,7.9408,,3.5651,0.3726,0.5429,,,,,,,,,,,,,,
GL,50.9094,1.9133,14.1267,,,,11.8657,,0.204,6.5104,10.601,,2.8358,0.1235,0.1937,,,,,,,,,,,,,,
GL,51.0256,2.0517,13.8941,,,,12.4982,,0.2095,6.2453,10.0948,,2.9912,0.1564,0.2235,,,,,,,,,,,,,,
GL,50.7987,1.7296,14.7821,,,,10.4913,,0.1765,7.0528,11.2986,,2.8556,0.1298,0.1677,,,,,,,,,,,,,,
GL,50.888,1.5475,15.0336,,,,10.1589,,0.1905,7.4736,11.4011,,2.6827,0.1078,0.1477,,,,,,,,,,,,,,
GL,50.6562,1.6094,14.984,,,,10.3098,,0.1761,7.3694,11.3026,,2.6414,0.1251,0.1686,,,,,,,,,,,,,,
GL,50.7589,1.5027,15.0497,,,,10.1157,,0.1719,7.6464,11.4582,,2.6683,0.1064,0.1529,,,,,,,,,,,,,,
GL,50.838,1.8665,14.6882,,,,10.8376,,0.1968,6.9127,10.9719,,3.2063,0.1936,0.2188,,,,,,,,,,,,,,
GL,50.5566,1.488,15.6889,,,9.64132,9.6463,,0.1742,7.9065,11.5453,,2.9858,0.1003,0.1457,,,,,,,,,,,,,,
GL,50.8065,1.7629,15.2488,,,,10.3111,,0.1839,7.2974,10.8873,,3.2215,0.2034,0.2065,,,,,,,,,,,,,,
GL,50.4784,1.6368,15.6837,,,,9.848,,0.1833,7.6117,11.1685,,3.1469,0.1359,0.1684,,,,,,,,,,,,,,
GL,50.9642,1.5626,15.4113,,,,9.6795,,0.1778,7.518,11.3334,,3.1856,0.1243,0.156,,,,,,,,,,,,,,
GL,50.7346,1.9976,14.4937,,,,10.8633,,0.2027,6.8588,11.0188,,3.2393,0.1576,0.2107,,,,,,,,,,,,,,
